Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","123","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","11.96","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","6.68","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2896","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","89.25","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","92.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","700","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","47.94","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3289","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","94.1","Fc","Donnée calculée"
