Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","49","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","20","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","8","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","21","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","723","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","99","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","23","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","209","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","338","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","53","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","5","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","126","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","123","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","2","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","65","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","29","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","24","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","9","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","5","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","67","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","54","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","7","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2943","Viande","2017","2017","Milliers de tonnes","279","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2731","Viande de Bovins","2017","2017","Milliers de tonnes","13","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2732","Viande d'Ovins/Caprins","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2733","Viande de Suides","2017","2017","Milliers de tonnes","154","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","108","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","5611","Importations - Quantité","2735","Viande, Autre","2017","2017","Milliers de tonnes","3","S","Données standardisées"
